"","flight_no","aircraft","origin","sch_dep_time","est_arr_time","city","tiempo1"
"6"," TAM3301","A321","São Gonçalo do Amarante–Governador Aluízio Alves International Airport (NAT / SBSG)","Wed 03:55PM -02","Wed 07:09PM -02","Sau_Paulo",20
"7"," AZA678","B77W","Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF)","Wed 10:25AM CET","Wed 07:12PM -02","Sau_Paulo",10
"9"," GLO1619","B738","Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF)","Wed 03:05PM -03","Wed 07:25PM -02","Sau_Paulo",32
"10"," GLO1417","B738","Presidente Juscelino Kubitschek Int'l (BSB / SBBR)","Wed 06:10PM -02","Wed 07:28PM -02","Sau_Paulo",10
"11"," AFR456","B77W","Charles de Gaulle/Roissy (CDG / LFPG)","Wed 10:05AM CET","Wed 07:31PM -02","Sau_Paulo",115
"18"," GLO7663","B738","Comodoro Arturo Merino Benitez Int'l (SCL / SCEL)","Wed 02:30PM -03","Wed 07:26PM -02","Sau_Paulo",27
"22"," GLO1505","B738","Santa Maria (AJU / SBAR)","Wed 04:00PM -03","Wed 07:40PM -02","Sau_Paulo",24
"28"," ONE6303","A320","Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF)","Wed 04:05PM -03","Wed 08:20PM -02","Sau_Paulo",31
"31"," LAP1301","A320","Silvio Pettirossi Int'l (ASU / SGAS)","Wed 05:25PM -03","Wed 07:56PM -02","Sau_Paulo",11
"32"," TAM4783","A321","Pinto Martins Int'l (FOR / SBFZ)","Wed 03:25PM -03","Wed 08:00PM -02","Sau_Paulo",35
"33"," ONE6351","A320","São Gonçalo do Amarante–Governador Aluízio Alves International Airport (NAT / SBSG)","Wed 04:50PM -02","Wed 08:10PM -02","Sau_Paulo",14
"35"," TAM8135","A320","Lt. Gen. Benjamin Matienzo Int'l (TUC / SANT)","Wed 04:55PM -03","Wed 09:03PM -02","Sau_Paulo",33
"37"," ONE6393","A320","Pinto Martins Int'l (FOR / SBFZ)","Wed 04:00PM -03","Wed 08:40PM -02","Sau_Paulo",26
"38"," ONE6163","A320","Zumbi dos Palmares (Campo dos Palmares) (MCZ / SBMO)","Wed 04:10PM -03","Wed 08:51PM -02","Sau_Paulo",47
"39"," GLO1621","B738","Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF)","Wed 05:15PM -03","Wed 09:09PM -02","Sau_Paulo",20
"40"," ONE6197","A320","Santa Maria (AJU / SBAR)","Wed 05:30PM -03","Wed 09:10PM -02","Sau_Paulo",10
"42"," TAM8093","A320","Comodoro Arturo Merino Benitez Int'l (SCL / SCEL)","Wed 05:20PM -03","Wed 10:09PM -02","Sau_Paulo",25
"43"," CMP701","B738","Tocumen Int'l (PTY / MPTO)","Wed 11:36AM EST","Wed 09:14PM -02","Sau_Paulo",16
"47"," GLO1679","B738","Val de Caes Int'l (BEL / SBBE)","Wed 03:40PM -03","Wed 10:05PM -02","Sau_Paulo",20
"48"," RAM215","B788","Mohammed V Int'l (CMN / GMMN)","Wed 03:20PM WET","Wed 10:47PM -02","Sau_Paulo",17
"53"," TAM8071","B773","Frankfurt Int'l (FRA / EDDF)","Wed 07:55PM CET","Thu 04:56AM -02","Sau_Paulo",28
"54"," ARG1250","B738","Ministro Pistarini Int'l (EZE / SAEZ)","Wed 03:25PM -03","Wed 07:15PM -02","Rio",25
"56"," AZU4128","A320","Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF)","Wed 05:00PM -03","Wed 07:56PM -02","Rio",12
